Prompt,Completion
Relaxing Ylang-Ylang Collection Sheet,"Relaxing Ylang-Ylang Rich. Relaxing. Hypnotic.
Created by Master Perfumer Jacques Chabert, this floral fragrance spotlights the soothing power of ylang-ylang. Opulently floral at the top, spicy in the heart and warm in the base, ylang-ylang oil is typically cherished in aromatherapy for its calming tones. Launched in 1998

Fragrance Construction
Bath & Body Collection
Citrus-spice top notes are enveloped in a rich heart of ylang-ylang and jasmine. A comforting base welcomes with vanilla and musky woods. 

TOP
Tangerine - Cocooning
Cardamom
Ginger

HEART
Ylang-ylang - Hypnotic
Jasmine

BASE
Vanilla - Velvety
Cedarwood
Musk

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Lotion

The Ritual
CLEANSE
Unwind at the end of a long day with the Bath & Shower Gel.
TREAT
Take care of skin with the nurturing Body Lotion and deepen the soothing scent trail.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Floral
One of the most popular and ancient families in perfume history. As its name implies, fl owers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.
SECONDARY FRAGRANCE FAMILY - White-Floral
A heady presence of white fl owers such as lily, tuberose, hyacinth and jasmine."
Refined White Mulberry Collection Sheet,"Refined White Mulberry Fresh. Balanced. Elegant.
Created by Master Perfumer Jacques Chabert, this bestselling fragrance embodies fresh forestscapes and glorious green valleys. Perfect for renewing your senses, it’s an elegant union of herbaceous, aromatic and green notes. Launched in 2006

Fragrance Construction
Hand Collection
Verdant top notes of basil and zesty bergamot is refreshed with clary sage at the heart. Aromatic thyme and musk create a balancing base.

TOP
Basil - Fresh
Bergamot
Elemi

HEART
Clary Sage - Comforting
Green Tea
Rosemary

BASE
Thyme - Aromatic
Mate
Musk

What Products Are Available In This Collection?
HAND
Fine Liquid Hand Wash
Hand Lotion

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Aromatic A gathering of restorative and herbaceous scents, usually mint, lavender, rosemary, sage, eucalyptus or thyme.

SECONDARY FRAGRANCE FAMILY - Green Scents with fresh, leafy facets typically found in green floral notes such as lily of the valley or fig leaves.

"
Neon Amber Collection Sheet,"Neon Amber Audacious. Intense. Passionate.
This intriguing ambery-vanilla fragrance began as a personal project for New Gen Perfumer Jérôme Di Marino. Being a lover of deep, opulent scents, he worked on Neon Amber as a scent to wear himself. Always one to put a new twist on classic notes, Jérôme has reinvented one of the industry’s most iconic accords – Amber 83. Created in 1889 by the legendary perfume house De Laire, Amber 83 is built around vanilla, cistus labdanum and patchouli. The accord became the sophisticated, groundbreaking base for warm, ambery fragrances. In this exciting and never-before-seen creation, Jérôme replaced the typical vanilla note with an overdose of tonka absolute
– the ‘new vanilla’ – for a creamy and complex heart. Launched in 2021

Fragrance Construction
Eau de Parfum
For inspiring infl uencers; sparkling bergamot and resinous cistus oil are amplifi ed by dark hay absolute, leading to a mysteriously warm base

SIGNATURE
Hay absolute - Dark

TOP
Bergamot - Sparkling
Cistus Oil

HEART
Tonka Absolute - Sensuous
Cedar Leaf Oil

BASE
Ambroxan - Warm
Cistus Absolute
Patchouli

SIGNATURE NOTE Hay absolute
The warm, dry gust of hay absolute gives the fragrance a richer, darker and more full-bodied character.

Fragrance Construction
Eau de Toilette
For adventurous culture-seekers; sensuous, creamy tonka bean ignites dark ambery tones and musky-woody ambroxan.

TOP
Mandarin Oil - Bright
Pink Peppercorn
Violet Leaf

HEART
Tonka Absolute - Sensuous
Cedar Leaf Oil

BASE
Ambroxan - Warm
Cistus Absolute
Cedarwood Oil

OVERARCHING NOTE Tonka bean
A dynamic overdose of creamy tonka bean lends a complex and contemporary twist to the fragrance.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion
Deodorant

The Ritual
CLEANSE
Face a bold new day head-on with the Bath & Shower Gel and freshen up with the Deodorant; ideal for travelling and on-the-go activities.
HYDRATE
The Body Lotion keeps skin feeling smooth, moisturised and ready for your next challenge.
TREAT
Define a long-lasting impression with the Eau de Toilette or the daringly indulgent Eau de Parfum. 

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Ambery
Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets. With access to synthetic ingredients, contemporary ambery perfumes are softer, usually featuring vanilla, labdanum, cinnamon, pepper or oudh accord.

SECONDARY FRAGRANCE FAMILY - Vanilla
A significant presence of vanilla or tonka bean, as well as balms, incense and resins.

PERSONALITY PROFILER - Passionate and curious
Neon Amber is perfect for characters who are quietly refined, mature and comfortable in their own skin. They’re open to the world, cultured and appreciate artistic talents. Naturally inquisitive and optimistic, these devotees are drawn to resinous and intense fragrances that express their happy nature."
Milk Musk Collection Sheet,"Milk Musk Pure. Gentle. Comforting..
Created by Maïa Lernout, Milk Musk is a deeply soothing scent that enwraps you in a bubble of pure gentleness. This tender, floralmusky scent brings together luscious pear, soft musk and heartening white cedarwood. The Eau de Parfum cocoons the senses with an unexpected milk accord as the signature note, imparting nostalgic, intimate warmth. Launched in 2020

Fragrance Construction
Eau de Parfum
Lemony elemi makes an enlivening debut, balanced by skin-soft musk and creamy ambroxan. Sensual benzoin in the base is wrapped by cosseting tonka bean.

SIGNATURE 
Milk Accord - Comforting

TOP
Elemi - Animated

HEART
Musk - Soft
Ambroxan
Vanilla

BASE
Benzoin - Sensual
Tonka Bean

SIGNATURE NOTE Milk Accord
Milk is a polarising yet prized note in perfumery. Rarely used, it evokes a deep emotional connection, as one of the fi rst scents we universally remember as an infant.

Fragrance Construction
Eau de Toilette
Fresh, luscious pear at the top folds into a heart of musk and comforting vanilla. A creamy trail of sweet white cedarwood lingers in the rich base.

TOP
Pear - Luscious
Peach

HEART
Musk - Soft
Ambroxan
Vanilla
Milk

BASE
White Cedarwood - Heartening
Tonka Bean

OVERARCHING NOTE Musk
Musk is most often used as a base note to help prolong fragrances but for this perfume, we’ve added it as a heart note in small doses to give a subtle, powdery and soft eff ect.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion

The Ritual
CLEANSE
Slip into a soul-soothing soak with our Bath & Shower Gel.
HYDRATE
Continue the comforting ritual and nurture skin with the comforting Body Lotion.
TREAT
Enjoy a few spritzes of the Eau de Toilette for an olfactory embrace or choose the Eau de Parfum for a more comforting touch.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Floral
One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.
SECONDARY FRAGRANCE FAMILY - Musky
This describes fragrances that are based on a floral accord with an additional musky note; lending a richer, more contemporary structure compared to a traditional floral perfume.
PERSONALITY PROFILER - Astute and considered
Milk Musk lovers have an observant and self-assured character. They’re drawn to fragrances that have an aura of familiarity and represent their balanced approach to life."
Mesmerising Oudh Accord & Gold Collection Sheet,"Mesmerising Oudh Accord & Gold Precious. Heady. Mesmerising.
This ambery-vanilla collection is a refined exhibition of oudh; a rare ingredient that has been ubiquitous in Middle Eastern fragrance traditions for centuries. Senior Perfumer Philippe Bousseton created the Eau de Toilette, inspired by oudh’s native birthplace in the dark, spiced forests of Assam, North India. Philippe introduced cinnamon leaf oil for a modern hook, refined with mysterious saffron. For the Eau de Parfum, Senior Perfumer Sylvie Fischer was sparked by the Middle Eastern palaces of One Thousand And One Nights folk tales, where gold reigns king. She encircles oudh with complex facets to create a sophisticated balm that’s like ‘a well-kept secret’
– deeply distinctive and mysterious. Launched in 2014

Fragrance Construction
Eau de Parfum
For hedonistic extroverts; rose absolute, cardamom and davana enwrap oudh to create a complex, precious balm.

SIGNATURE
Olibanum Resin - Intense

TOP
Davana - Honeyed
Bergamot
Black Pepper
Cardamom

HEART
Saff ron - Balmy
Rose
Black Tea
Vanilla

Oudh - Spirited
Honey
Tobacco
Styrax Resin

SIGNATURE NOTE Olibanum Resin
Olibanum is a beautiful fusion of sweet, woody accords with a resinous intense aspect. It’s made up of two different components; a resin and an oil. The oil adds brighter, enlivening top notes while the resin at the heart and base leave a more intense and sensual trail.

Fragrance Construction
Eau de Toilette
For indulgent head-turners; warm cinnamon leaf, a heart of black tea and heady oudh create a hypnotic exploration of a spiced forest.

TOP
Cinnamon Leaf - Warm
Nutmeg
Bergamot

HEART
Elemi - Spicy-citrus
Myrrh
Black Tea

BASE
Oudh - Heady
Vetiver
Honey

OVERARCHING NOTE Oudh
Oudh is the heartwood resin of the agar tree, originating in Assam, India; rare and difficult to harvest, it is around 1.5 times the value of gold, giving it the moniker ‘liquid gold’.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion
Precious Bathing Oil
Precious Body Oil

HAND
Fine Liquid Hand Wash
Hand Lotion

HOME
Signature Candle
Luxury Candle

The Ritual
CLEANSE
Swathe the senses in complete luxury with the Bath & Shower Gel, infused with real, 23.5-carat gold flakes. Dial up the decadence with a few drops of the Precious Bathing Oil, enriched with radianceboosting Indian moringa oil and argan oil.
HYDRATE
Massage in the Body Lotion after bathing to keep skin feeling soft and divinely scented. Take it one, opulent step further with the Precious Body Oil to give skin a smooth, luminous finish.
TREAT
Intensify your ritual with a few spritzes of the Eau de Toilette or Eau de Parfum for an intoxicating scent trail.
HOME
Light the Signature or Luxury Candle to lend a majestically warm ambience to your sanctuary

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Ambery
Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets. With access to synthetic ingredients, contemporary ambery perfumes are softer, usually featuring vanilla, labdanum, cinnamon, pepper or oudh accord.
SECONDARY FRAGRANCE FAMILY - Vanilla
A significant presence of vanilla or tonka bean, as well as balms, incense and resins.
PERSONALITY PROFILER - Extroverted and sensual
Mesmerising Oudh Accord & Gold wearers desire to be noticed, to impress and captivate the attention of others. They treasure loved ones but are unapologetic about their self-indulgence. They love powerful, warm fragrances and making a stand-out statement."
Lime & Patchouli Collection Sheet,"Lime & Patchouli Sparkling. Verdant. Enlivening
Created by Master Perfumer Jacques Chabert, this fragrance has become a popular Molton Brown classic. Verdant and uplifting, it spotlights makrut lime leaves, loved for its intense citrus aroma.
Launched in 2002

Fragrance Construction
Hand Collection
Vibrant lime and violet leaf are enlivened by a distinctively spicy heart. The base is enriched with deep patchouli and musky woods.

TOP
Lime – Vibrant
Violet Leaf
Eucalyptus

HEART
Cardamom – Distinctive
Cumin
Elemi

BASE
Patchouli – Deep
Cedarwood
Musk

What Products Are Available In This Collection?
HAND
Fine Liquid Hand Wash
Hand Lotion

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Aromatic
A gathering of restorative and herbaceous scents, usually mint, lavender, rosemary, sage, eucalyptus or thyme.
SECONDARY FRAGRANCE FAMILY - Citrus
Fresh, zesty and sparkling. As one of the oldest fragrance families in the world, citrus contains essential oils extracted from cold expression of fruit zest, such as lemon, bergamot, orange and grapefruit."
Lily & Magnolia Blossom Collection Sheet,"Lily & Magnolia Blossom Delicate. Joyful. Blooming. 
This delicate and joyful collection celebrates the beauty of beginnings. Inspired by British woodlands and wildflowers, this white-floral fragrance blooms with bright magnolia, dewy lily of the valley and warm sandalwood. We picked juicy pear as the signature note for the Eau de Parfum. Its crispness brings out the watery side of the fragrance, adding a sweeter, longer-lasting trail. Launched in 2021

Fragrance Construction
Eau de Parfum
Bright magnolia is surrounded by a delicate bouquet of lily of the valley and orange blossom. Sensual sandalwood and musk create a deep fi nale.

SIGNATURE
Pear - Juicy

TOP
Magnolia - Delicate
White Tea
Green Mandarin

HEART
Lily of the Valley - Dewy
Peony
Freesia

BASE
Sandalwood - Warm
White Musk
Ylang-ylang

SIGNATURE NOTE Pear
The crispness of the fruit brings out the top notes with an aromatic nuance, while its aquatic quality forms a luscious duet with dewy lily of the valley. 

Fragrance Construction
Eau de Toilette
Creamy magnolia is uplifted by soft peony and lemony freesia in the heart. A comforting base of sandalwood and white musk bring soothing depth.

TOP
Magnolia - Delicate
White Tea
Green Mandarin

HEART
Lily of the Valley - Dewy
Peony
Freesia

BASE
Sandalwood - Warm
White Musk
Ylang-ylang

OVERARCHING NOTE Lily of the Valley Soft, elegant and verdant, lily of the valley is a scented symbol of spring

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion

The Ritual
CLEANSE
Embrace the day with the uplifting Bath & Shower Gel for a fresh start.
HYDRATE
Massage the Body Lotion into damp skin after bathing to deepen the blossoming scent trail.
TREAT
Mist the reviving Eau de Toilette or sweeter Eau de Parfum on pulse points and through hair while looking forward to new things.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Floral
One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.
SECONDARY FRAGRANCE FAMILY - White-floral
A heady presence of white flowers such as lily, tuberose, hyacinth and jasmine."
Labdanum Dusk Collection Sheet,"Labdanum Dusk Exceptional. Enigmatic. Treasurable.
This ambery-woody fragrance is a modern celebration of labdanum, also known as ‘rock rose’ – an ancient ingredient used in incense and perfumery. Inspired by this lead raw material, Senior Perfumer Nathalie Koobus introduces contemporary woody-earthy notes to the fragrance. She intensifies the different facets of labdanum with rare, sustainably sourced oudh as the signature note. This precious fragrance embodies Nathalie’s vision of ‘a Middle Eastern palace, where hazes of hookah incense drift into the sunset.’ Launched in 2021

Fragrance Construction
Eau de Parfum
For lovers of fi ve-star decadence; earthy cypriol and heady, resinous labdanum are enriched by the impressive depth of oudh

SIGNATURE
Oudh - Intense

TOP
Cedar Leaves - Verdant
Saff ron

HEART
Cypriol - Herbaceous
Cedarwood
Patchouli

BASE
Labdanum - Resinous
Tonka Bean
Vanilla

SIGNATURE NOTE Oudh
An oil extracted from dark agarwood, oudh is prized as the most expensive natural material in the world. Our oudh has been sustainably sourced from Dubai to make an undeniably rich and deep statement.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum

BODY
Bath & Shower Gel
Hair Mist

The Ritual
CLEANSE
The Labdanum Dusk ritual is no ordinary one. The Bath & Shower Gel elevates bathing to an art form with an extravagance that lingers in the air long after it leaves your skin.
TREAT
A generous spritz of the Hair Mist dresses your hair with a secretive, beautiful air.
LAYER
Deepen your scent trail with the Eau de Parfum, ideal for an impressive night out. An intense signature note of oudh creates a mesmerising aura.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Ambery
Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets. With access to synthetic ingredients, contemporary ambery perfumes are softer, usually featuring vanilla, labdanum, cinnamon, pepper or oudh accord.
SECONDARY FRAGRANCE FAMILY - Woody
Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver.
PERSONALITY PROFILER - Rare and impressive
Labdanum Dusk wearers are respected and powerful. They have a passion for the finer things in life and are unashamed about their self-indulgence. They prize fragrances that are made with rarified ingredients for a hint of mystery, and fit for royalty"
Jasmine & Sun Rose Collection Sheet,"Jasmine & Sun Rose
Poised. Symphonic. Captivating.
Jasmine & Sun Rose has become an award-winning, instant favourite. This chypre-fruity fragrance is a delicate yet powerful symphony of raspberry,\ jasmine and labdanum, also known as ‘sun rose’. We sourced our jasmine from the banks of the Nile Delta at dusk when the scent is the most intense. New Generation Perfumer Julie Pluchet created the Eau de Parfum, bringing out the more complex floral, animalic and leathery qualities of jasmine. She chose plumy davana as the signature note for its ability to enrich classic and modern accords, calling it her ‘chameleon note’. Launched in 2019 – 2020 (Eau de Parfum)

Fragrance Construction
Eau de Parfum
Sweet bergamot and cassis make a crisp entrance, wrapped by layers of sensual fl orals. Rich patchouli and musk languish in the warm base.

SIGNATURE
Davana - Peachy

TOP
Bergamot - Sweet
Cassis
Raspberry

HEART
Jasmine - Sensual
Rose
Cistus Labdanum

BASE
Patchouli - Rich
Musk
Tonka Bean

SIGNATURE NOTE Davana
Davana has many personalities; syrupy, plumy, spicy and sweet all at once. This chameleon note can enhance and intensify a diverse selection of accords.

Fragrance Construction
Eau de Toilette
Youthful raspberry is balanced with an elegant bouquet of jasmine and osmanthus. Trailing exquisitely with a base of precious labdanum and patchouli.

TOP
Raspberry - Youthful
Bergamot
Peach

HEART
Jasmine - Delicately Powerful
Osmanthus
Rose

BASE
Labdanum - Precious
Patchouli
Musk

OVERARCHING NOTE Jasmine
The symbol of elegance and beauty, it’s the perfect fl ower to plant in a lunar garden, so the night air is fi lled with its romantic essence. 

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion
Exquisite Bathing Oil
Exquisite Body Oil

The Ritual
CLEANSE
Begin with the Bath & Shower Gel for a captivating soak; add a few drops of Exquisite Bathing Oil to deepen the scent and leave skin with a lustrous glow.
HYDRATE
Nourish skin with the Body Lotion and take it one step further with the Exquisite Body Oil – enriched with Egyptian nigella seed and argan oils for a silky-smooth touch.
TREAT
Finish with a few spritzes of the Eau de Toilette for a romantic trail or choose the Eau de Parfum for more magnetic eveningwear.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Chypre
Taking the name after Francois Coty’s iconic perfume in 1917, chypre fragrances are built around an accord of oakmoss, ciste labdanum and bergamot. Complex and sophisticated, they’re reminiscent of undergrowth and the humidity often associated with autumn.
SECONDARY FRAGRANCE FAMILY - Fruity
Leading with delicious, fruity notes such as raspberry, peach, lychee, apple and strawberries.
PERSONALITY PROFILER - Sociable and adventurous
Best described as modern dreamers, Jasmine & Sun Rose fans are charming and playfully provocative. They love romantic fragrances with a youthful feel."
Infusing Eucalyptus Collection Sheet,"Infusing Eucalyptus
Pure. Bold. Stimulating.
This aromatic-woody fragrance is loved for its stimulating and restorative power. It invites an energising bathing ritual with a bold infusion of eucalyptus, mint and cedarwood. Launched in 1999

Fragrance Construction
Bath & Body Collection
Reviving eucaplytus and lavandin is enriched by vivacious wild mint and clove. The base is resinous with cedarwood and patchouli.

TOP
Eucalyptus – Reviving
Lavandin
Rosemary

HEART
Wild Mint – Vivacious
Clove
Thyme

BASE
Cedarwood – Resinous
Patchouli
Musk

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Polisher

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Aromatic A gathering of restorative and herbaceous scents, usually mint, lavender, rosemary, sage, eucalyptus or thyme.
SECONDARY FRAGRANCE FAMILY - Woody Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver."
Flora Luminare Collection Sheet,"Flora Luminare Utopian. Luminous. Solar.
Created by Senior Perfumer Maïa Lernout, Flora Luminare is an exuberant celebration of tiare absolute, jasmine and rose. Sunny citrus top notes balance beautifully with creamy vanilla and musk in the welcoming base. Maïa adores using only the finest raw, natural ingredients. She chose the purest, most concentrated form of the rare tiare flower, bringing out its exceptional radiance. This elegant, light-filled creation is an instant favourite for those who express their warm and lively side. Launched in 2020

Fragrance Construction
Eau de Parfum
Milky bitter almond top notes soften into an intense bouquet of tiare absolute, neroli and jasmine. The base is a creamy trail of sandalwood and musk.

SIGNATURE
Ylang-ylang - Exquisite

TOP
Bitter Almond - Milky
Mandarin
Petitgrain
Olibanum

HEART
Tiare Absolute - Intense
Neroli
Jasmine Absolute
Rose Absolute

BASE
Mate Absolute - Earthy
Sandalwood
Cedarwood
Musk

SIGNATURE NOTE Ylang-ylang
Golden ylang-ylang accentuates the fragrance’s solar and textured fl oral facets. It’s had a complete distillation to capture the fl ower’s full, exquisite power.

Fragrance Construction
Eau de Toilette
Zesty orange blossom and mandarin are blissfully balanced by a seductive core of white fl orals. Comforting notes of creamy vanilla and musk linger in the base.

TOP
Orange Blossom - Sensual
Mandarin
Ylang-ylang 

HEART
Tiare Absolute - Heady
Frangipani
Jasmine Absolute
Rose Absolute

BASE
Vanilla - Nostalgic
Cedarwood
Musk 

OVERARCHING NOTE Tiare absolute
Incredibly rare, the Tahitian tiare is sought after for its rich, sun-soaked warm tones. To harness its radiating power, the fl owers are picked at dusk when fully opened or at dawn as buds.

What Products Are Available In This Collection?
FRAGRANCE
Eau de Parfum
Eau de Toilette

BODY
Bath & Shower Gel
Body Lotion
Glowing Body Oil

HAND
Fine Liquid Hand Wash
Hand Lotion
Hand Cream

The Ritual
CLEANSE
Illuminate your senses with the Bath & Shower Gel for a blissful soak.
HYDRATE
Nourish skin with the Body Lotion or apply a few drops of Glowing Body Oil, enriched with argan oil, for silky soft skin.
TREAT
Finish with a few spritzes of the Eau de Toilette for a brightly blooming trail or choose the Eau de Parfum for more exuberance.

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Floral
One of the most popular and ancient families in perfume history.
As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose.
SECONDARY FRAGRANCE FAMILY - White-floral
Indicates a heady presence of white flowers such as lily, tuberose, hyacinth and jasmine.
PERSONALITY PROFILER - Warm and lively
Flora Luminare devotees are social whirlwinds; bold, conscious and chatty personas who love scents that are full of volume."
Blissful Templetree Collection Sheet,"Blissful Templetree Peaceful. Reflective. Sacred
Created by Master Perfumer Jacques Chabert, this award-winning fragrance is a sacred fusion of floral, ambery and woody notes. Serene, soft and rounded, it was inspired by a temple courtyard where gentle floral beauty and greatness live in harmony. Launched in 2002

Fragrance Construction
Bath & Body Collection
A sacred medley of orange and fruity rose drift into a rich fl oral heart of jasmine and lilac. Deep patchouli and sandalwood linger on in the base.

TOP
Orange - Exuberant
Fruity Rose
Gardenia

HEART
Jasmine - Sensual
Lilac
Honey

BASE
Patchouli - Rich
Sandalwood
Vanilla

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Lotion

Fragrance Family
PRIMARY FRAGRANCE FAMILY - Ambery Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets.
SECONDARY FRAGRANCE FAMILY - Woody Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver"
"
Haircare Collection Sheet
","Hair Care
We have a proud heritage of creating natural hair care in our original 1970s Mayfair salon. Our pioneering founders had a forward-thinking, holistic approach to hair styling with a conscious care for the environment. Our fragrant formulas are targeted to suit all hair types and elevate a normal routine. Our new Botanical Hair Care (2021) contains sustainably sourced herbs: nettle, camomile, fennel and coriander. Paying homage to our home, London, we chose to grow our ingredients in once-abandoned underground tunnels, using remarkable hydroponic systems and LED technology. This means they’re produced year-round in a controlled, pesticide-free environment, unaffected by weather and seasons. Using 70% less water than a traditional farm, this method keeps all nutrients in a closed loop system to reduce agricultural runoff. Plus, our packaging is made from 100% post-consumer recycled plastic.

Volumising Collection With Nettle
For Fine Hair
Green nettle helps boost hair, leaving it looking fuller with a smooth and shiny fi nish. Strands are beautifully perfumed with fresh violet leaf and comforting musk.

TOP
Violet leaf - Fresh
Eucalyptus
Peppermint

HEART
Nettle - Green
Geranium
Jasmine

BASE
Musk - Comforting
Patchouli
Sandalwood

OVERARCHING NOTE Nettle
Nettle has a distinctively green character, like a blend of violet leaf and mint. It lends a natural green top note to the fragrance.

Hydrating Collection With Camomile
For Normal Hair
Soothing camomile helps restore hair’s moisture balance, lending eff ortless shine and a smooth touch. Finished with a revitalising scent trail of fresh lemon zest and woody vetiver

TOP
Lemon zest - Fresh
Mandarin

HEART
Camomile - Soothing
Lavender
Sage 

BASE
Vetiver - Woody
Patchouli
Black pepper

OVERARCHING NOTE Camomile
With herbaceous and fruity facets, camomile oil enhances the powdery, comforting aspect of the fragrance.

Repairing Collection With Fennel
For Damaged Hair

Aromatic fennel leaves hair feeling deeply nourished and beautifully lustrous. Comforting lavender and musk lend a soothing fragrant fi nish.

TOP
Fennel – Aromatic
Mandarin
Carrot seed 

HEART
Lavender – Soothing
Rose
Jasmine

BASE
Musk – Comforting
Sandalwood
Tonka bean

Balancing Shampoo With Coriander
For Oily Hair
Citrusy coriander leaves hair feeling thoroughly refreshed, rebalanced and serenely nurtured. Uplifting bergamot and woody vetiver create an enlivening scent.

TOP
Bergamot – Uplifting
Grapefruit
Mandarin

HEART
Coriander leaf –
Citrusy
Lavender
Rosemary

BASE
Vetiver – Woody
Musk
Sandalwood

OVERARCHING NOTE Coriander
Green with a citrusy mandarin-like note, coriander helps bring a freshly clean note to the fragrance.

What Products Are Available In This Collection?
SHAMPOO
Nettle, Camomile, Fennel, Coriander, Ginger Indian Cress, Kumudu, Cloudberry, Papyrus Reed, Plum-kadu


HAIR MASK
Fennel, Red Dulse Seaweed

CONDITIONER
Nettle, Camomile, Fennel 
Indian Cress, Kumudu, Cloudberry, Papyrus Reed, Plum-kadu

HAIR MIST
Suede Orris, Labdanum Dusk
*Ginger, Kumudu, Cloudberry, Papyrus Reed and Plum-kadu are being discontinued. 

The Ritual
Our Botanical Hair Care formulas target normal, fine, damaged and oily hair types.
Each fragrance complements each other.

CLEANSE
Featuring amino acids, all our shampoos thoroughly cleanse and purify the scalp, roots and strands. Indian Cress and Coriander helps refresh greasy hair while Nettle leave it feeling volumised.

CONDITION
All our conditioners richly replenish, detangle and nourish locks. Camomile helps deeply moisturise for an enviably silky-soft touch. Apply to the mid-lengths and ends to avoid build-up or switch-up your regime and try co-washing: using conditioner before shampoo.

TREAT
For an extra level of conditioning, apply our Hair Masks on clean, towel-dried hair. Comb through and leave on for at least 15 minutes, then rinse. Our Intense Repairing Hair Mask With Fennel works to revive hair to feel ultra-soft and healthy-looking.

FRAGRANCE
Continue the ritual with Suede Orris or Labdanum Dusk Hair Mist, formulated to be kinder to hair without drying it out. Veil tresses in Tuscan orris or resinous labdanum for a long-lasting impression."
Outlet Icons,"BLUE MAQUIS
Blue Maquis is an aromatic Molton Brown Icon.

Wild. Herbaceous. Aromatic.

Let's discover the story and inspiration behind this collection...

A beautifully untamed tapestry of herbs and flowers climbs crooked peaks.
Botanical lavender and pine-like cypress flourish with a pinch of thyme and woody rosemary.
A wild bouquet rooted in resinous, comforting labdanum.
Feel naturally refreshed; breathe in the restorative maquis shrubland."
Re-charge Black Pepper,"Re-charge Black Pepper is a true Molton Brown Icon.

Adventurous. Confident. Iconic.
Our bestselling spicy blend will keep you refreshed and fragrant with notes of black pepper, coriander and vetiver.  Featuring a Bath & Shower Gel, Body Lotion, Fragrance, Anti-Perspirant Stick, Bodyscrub Bar, Aroma  Reeds and Scented Candles, Re-charge Black Pepper is a true masculine icon.

Get inspired and discover more about this collection by watching the video below...

VIDEO TRANSCRIPT

Inspired by the bold spirit of adventure in the depths of the Madagascan Forests’ perilous mountain tracks. The result of one of our early and most iconic partnerships with the master perfumer Jacques Chabert,  our Re-charge Black Pepper collection is adventurous, energising and confident. Grown in Madagascar, black peppercorns unveil powerful, spicy and fruity flavours. It is a pepper that provides an outstanding finish, both sharp and refined. The pepper plant is a  vigorous vine with small green flowers grouped in long clusters, which give way to fleshy fruits of varying colours depending on maturity.


Black pepper, as we recognise it, is the full mature peppercorn, picked when tinged with red.  Several days of sun drying transforms these fleshy berries into shrivelled black kernels with a strong, spicy aroma. Re-charge black pepper has come to achieve iconic status because of its distinctive clash between bright citrus and deep woody notes.


When Jacques revisited our original re-charge black pepper collection in 2019 to begin the creation of our Eau de Parfum, it was the characteristic spiciness of the black peppercorns that really drew him to an ingredient that would amplify and enhance this bold warmth.  The ingredient Jacques selected was myrtle pepper. Myrtle pepper, otherwise known as all spice or pimento,  comes from the unripened berries of the evergreen pimento tree.


Robust and complex with hints of cinnamon and nutmeg, it’s a spicy accent that adds a rich dimension to the overall fragrance."
